序号,问题,答案,标准名称,标准编号,问答类型,适配路径,来源记录ID,来源链接,复核状态
78,标准《鄂尔多斯市沿黄水稻全程质量控制规范》的编号是什么？,该标准的编号为DB1506/T 41-2023。,鄂尔多斯市沿黄水稻全程质量控制规范,DB1506/T 41-2023,事实型问答,GraphRAG-MCP快路径,standard_b478bb3769421b16,https://std.samr.gov.cn/db/search/stdDBDetailed?id=071910506E54617BE06397BE0A0A9002,机器构建后待人工复核
79,标准《《寒地水稻麻地膜机插秧育秧技术规程》》的编号是什么？,该标准的编号为DB1507/T 102-2024。,《寒地水稻麻地膜机插秧育秧技术规程》,DB1507/T 102-2024,事实型问答,GraphRAG-MCP快路径,standard_faba92211b02e339,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1B0CD112E864DDC2E06397BE0A0AAB01,机器构建后待人工复核
80,标准《水稻提质增效栽培技术规程》的编号是什么？,该标准的编号为DB1507/T 55-2020。,水稻提质增效栽培技术规程,DB1507/T 55-2020,事实型问答,GraphRAG-MCP快路径,standard_55c9aadd390f79f2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B04267238994BB84E05397BE0A0A1E10,机器构建后待人工复核
81,标准《寒地水稻浅湿干节水灌溉栽培技术规程》的编号是什么？,该标准的编号为DB1507/T 82-2023。,寒地水稻浅湿干节水灌溉栽培技术规程,DB1507/T 82-2023,事实型问答,GraphRAG-MCP快路径,standard_d8f5195c0465a8db,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F815181A25F7C159E05397BE0A0A4E24,机器构建后待人工复核
82,标准《农用天气预报 水稻适宜度》的编号是什么？,该标准的编号为DB1522/T 1-2023。,农用天气预报 水稻适宜度,DB1522/T 1-2023,事实型问答,GraphRAG-MCP快路径,standard_03fe6d98066014c8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0A19B8E26AFD8B29E06397BE0A0A748D,机器构建后待人工复核
83,标准《水稻品种： 秋光》的编号是什么？,该标准的编号为DB21/ 1069-1999。,水稻品种： 秋光,DB21/ 1069-1999,事实型问答,GraphRAG-MCP快路径,standard_00be1840fe02ff4e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7E702E24E05397BE0A0A3A10,机器构建后待人工复核
84,标准《水稻品种： 辽粳207》的编号是什么？,该标准的编号为DB21/ 1070-1999。,水稻品种： 辽粳207,DB21/ 1070-1999,事实型问答,GraphRAG-MCP快路径,standard_a9c2ec596d573229,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7C612E24E05397BE0A0A3A10,机器构建后待人工复核
85,标准《水稻品种： 辽粳294》的编号是什么？,该标准的编号为DB21/ 1071-1999。,水稻品种： 辽粳294,DB21/ 1071-1999,事实型问答,GraphRAG-MCP快路径,standard_b5cb547efb0071e9,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D0D572E24E05397BE0A0A3A10,机器构建后待人工复核
86,标准《水稻品种： 辽粳454》的编号是什么？,该标准的编号为DB21/ 1072-1999。,水稻品种： 辽粳454,DB21/ 1072-1999,事实型问答,GraphRAG-MCP快路径,standard_f7fcbb7c543a59bb,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D2F322E24E05397BE0A0A3A10,机器构建后待人工复核
87,标准《水稻品种： 辽盐2号》的编号是什么？,该标准的编号为DB21/ 1073-1999。,水稻品种： 辽盐2号,DB21/ 1073-1999,事实型问答,GraphRAG-MCP快路径,standard_15d2817f6b738b05,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D40442E24E05397BE0A0A3A10,机器构建后待人工复核
88,标准《水稻品种： 花粳45》的编号是什么？,该标准的编号为DB21/ 1074-1999。,水稻品种： 花粳45,DB21/ 1074-1999,事实型问答,GraphRAG-MCP快路径,standard_0440458d528ae060,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D23D32E24E05397BE0A0A3A10,机器构建后待人工复核
89,标准《水稻品种： 辽盐9号》的编号是什么？,该标准的编号为DB21/ 1075-1999。,水稻品种： 辽盐9号,DB21/ 1075-1999,事实型问答,GraphRAG-MCP快路径,standard_dc2e7074d4153dac,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D73D62E24E05397BE0A0A3A10,机器构建后待人工复核
90,标准《水稻品种： 辽盐糯10号》的编号是什么？,该标准的编号为DB21/ 1076-1999。,水稻品种： 辽盐糯10号,DB21/ 1076-1999,事实型问答,GraphRAG-MCP快路径,standard_773cbb4fd93056c0,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D4BBB2E24E05397BE0A0A3A10,机器构建后待人工复核
91,标准《水稻品种： 沈农514》的编号是什么？,该标准的编号为DB21/ 1077-1999。,水稻品种： 沈农514,DB21/ 1077-1999,事实型问答,GraphRAG-MCP快路径,standard_8679ecd4922ff325,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D5B102E24E05397BE0A0A3A10,机器构建后待人工复核
92,标准《水稻品种： 沈农90-17》的编号是什么？,该标准的编号为DB21/ 1078-1999。,水稻品种： 沈农90-17,DB21/ 1078-1999,事实型问答,GraphRAG-MCP快路径,standard_cb7219c5fccd59d5,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D720D2E24E05397BE0A0A3A10,机器构建后待人工复核
93,标准《水稻品种： 沈糯1号》的编号是什么？,该标准的编号为DB21/ 1079-1999。,水稻品种： 沈糯1号,DB21/ 1079-1999,事实型问答,GraphRAG-MCP快路径,standard_da16f7cafe6aba55,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D3C3A2E24E05397BE0A0A3A10,机器构建后待人工复核
94,标准《水稻品种： 沈农香糯1号》的编号是什么？,该标准的编号为DB21/ 1080-1999。,水稻品种： 沈农香糯1号,DB21/ 1080-1999,事实型问答,GraphRAG-MCP快路径,standard_6790d6e7c73eaa1b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D3B5E2E24E05397BE0A0A3A10,机器构建后待人工复核
95,标准《水稻品种： 沈农8801》的编号是什么？,该标准的编号为DB21/ 1081-1999。,水稻品种： 沈农8801,DB21/ 1081-1999,事实型问答,GraphRAG-MCP快路径,standard_2fab51748bb92a4f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DE2612E24E05397BE0A0A3A10,机器构建后待人工复核
96,标准《水稻品种： 铁粳5号》的编号是什么？,该标准的编号为DB21/ 1082-1999。,水稻品种： 铁粳5号,DB21/ 1082-1999,事实型问答,GraphRAG-MCP快路径,standard_a3565381cd0badac,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D668D2E24E05397BE0A0A3A10,机器构建后待人工复核
97,标准《水稻品种： 丹粳6号》的编号是什么？,该标准的编号为DB21/ 1083-1999。,水稻品种： 丹粳6号,DB21/ 1083-1999,事实型问答,GraphRAG-MCP快路径,standard_6965c4209adb6a82,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D4B872E24E05397BE0A0A3A10,机器构建后待人工复核
98,标准《水稻品种： 丹粳7号》的编号是什么？,该标准的编号为DB21/ 1084-1999。,水稻品种： 丹粳7号,DB21/ 1084-1999,事实型问答,GraphRAG-MCP快路径,standard_b20189612dc636d3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D22B12E24E05397BE0A0A3A10,机器构建后待人工复核
99,标准《水稻品种： 港辐1号》的编号是什么？,该标准的编号为DB21/ 1085-1999。,水稻品种： 港辐1号,DB21/ 1085-1999,事实型问答,GraphRAG-MCP快路径,standard_8932bdf7b3d3596c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D62A72E24E05397BE0A0A3A10,机器构建后待人工复核
100,标准《水稻品种： 东选2号》的编号是什么？,该标准的编号为DB21/ 1086-1999。,水稻品种： 东选2号,DB21/ 1086-1999,事实型问答,GraphRAG-MCP快路径,standard_387a8fe0431d8a7d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D61D12E24E05397BE0A0A3A10,机器构建后待人工复核
101,标准《水稻品种： 营8433》的编号是什么？,该标准的编号为DB21/ 1087-1999。,水稻品种： 营8433,DB21/ 1087-1999,事实型问答,GraphRAG-MCP快路径,standard_10de984369f7e686,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D30BD2E24E05397BE0A0A3A10,机器构建后待人工复核
102,标准《水稻品种： 抚粳3号》的编号是什么？,该标准的编号为DB21/ 1088-1999。,水稻品种： 抚粳3号,DB21/ 1088-1999,事实型问答,GraphRAG-MCP快路径,standard_4fc4520140f5b02f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D29E72E24E05397BE0A0A3A10,机器构建后待人工复核
103,标准《水稻品种： 辽优3225》的编号是什么？,该标准的编号为DB21/ 1089-1999。,水稻品种： 辽优3225,DB21/ 1089-1999,事实型问答,GraphRAG-MCP快路径,standard_ba5e356a5b3d564e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D300A2E24E05397BE0A0A3A10,机器构建后待人工复核
104,标准《水稻品种： 屉优418》的编号是什么？,该标准的编号为DB21/ 1090-1999。,水稻品种： 屉优418,DB21/ 1090-1999,事实型问答,GraphRAG-MCP快路径,standard_213f50730d0f4c01,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D2C5D2E24E05397BE0A0A3A10,机器构建后待人工复核
105,标准《水稻品种： 辽盐12号》的编号是什么？,该标准的编号为DB21/ 1091-1999。,水稻品种： 辽盐12号,DB21/ 1091-1999,事实型问答,GraphRAG-MCP快路径,standard_c9fc4c13accacea1,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D327D2E24E05397BE0A0A3A10,机器构建后待人工复核
106,标准《水稻品种： 辽农938》的编号是什么？,该标准的编号为DB21/ 1092-1999。,水稻品种： 辽农938,DB21/ 1092-1999,事实型问答,GraphRAG-MCP快路径,standard_f2fc5343c6eba0c2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D99DF2E24E05397BE0A0A3A10,机器构建后待人工复核
107,标准《水稻品种： 辽盐282》的编号是什么？,该标准的编号为DB21/ 1093-1999。,水稻品种： 辽盐282,DB21/ 1093-1999,事实型问答,GraphRAG-MCP快路径,standard_d63e87f6fc4d31d8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D6AA72E24E05397BE0A0A3A10,机器构建后待人工复核
108,标准《水稻品种： 辽盐241》的编号是什么？,该标准的编号为DB21/ 1094-1999。,水稻品种： 辽盐241,DB21/ 1094-1999,事实型问答,GraphRAG-MCP快路径,standard_0dbcde18c7dc5b34,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D21EF2E24E05397BE0A0A3A10,机器构建后待人工复核
109,标准《水稻品种： 辽盐283》的编号是什么？,该标准的编号为DB21/ 1095-1999。,水稻品种： 辽盐283,DB21/ 1095-1999,事实型问答,GraphRAG-MCP快路径,standard_01714b70fbf26901,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D4C2E2E24E05397BE0A0A3A10,机器构建后待人工复核
110,标准《水稻品种： 辽盐16》的编号是什么？,该标准的编号为DB21/ 1096-1999。,水稻品种： 辽盐16,DB21/ 1096-1999,事实型问答,GraphRAG-MCP快路径,standard_2f7f73ff59d98c59,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D62B52E24E05397BE0A0A3A10,机器构建后待人工复核
111,标准《水稻品种： 辽粳135》的编号是什么？,该标准的编号为DB21/ 1136-1999。,水稻品种： 辽粳135,DB21/ 1136-1999,事实型问答,GraphRAG-MCP快路径,standard_a82d242280e7bbb1,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7CD82E24E05397BE0A0A3A10,机器构建后待人工复核
112,标准《水稻品种： 浑糯3号》的编号是什么？,该标准的编号为DB21/ 1137-1999。,水稻品种： 浑糯3号,DB21/ 1137-1999,事实型问答,GraphRAG-MCP快路径,standard_8d0dc5701b928620,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D32B72E24E05397BE0A0A3A10,机器构建后待人工复核
113,标准《水稻品种： 丹粳8号》的编号是什么？,该标准的编号为DB21/ 1138-1999。,水稻品种： 丹粳8号,DB21/ 1138-1999,事实型问答,GraphRAG-MCP快路径,standard_2f92d373b2d3bbf3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D74AB2E24E05397BE0A0A3A10,机器构建后待人工复核
114,标准《水稻品种： 开粳1号》的编号是什么？,该标准的编号为DB21/ 1139-1999。,水稻品种： 开粳1号,DB21/ 1139-1999,事实型问答,GraphRAG-MCP快路径,standard_8e17df0371ef0d72,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8EC32E24E05397BE0A0A3A10,机器构建后待人工复核
115,标准《水稻品种： 盐粳48号》的编号是什么？,该标准的编号为DB21/ 1140-1999。,水稻品种： 盐粳48号,DB21/ 1140-1999,事实型问答,GraphRAG-MCP快路径,standard_7654b160d86ba3b3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D115F2E24E05397BE0A0A3A10,机器构建后待人工复核
116,标准《水稻品种： 沈农159》的编号是什么？,该标准的编号为DB21/ 1141-1999。,水稻品种： 沈农159,DB21/ 1141-1999,事实型问答,GraphRAG-MCP快路径,standard_d77cb3b062c7d52f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D6E7E2E24E05397BE0A0A3A10,机器构建后待人工复核
117,标准《水稻品种： 沈农8718》的编号是什么？,该标准的编号为DB21/ 1142-1999。,水稻品种： 沈农8718,DB21/ 1142-1999,事实型问答,GraphRAG-MCP快路径,standard_d338baf57623646b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D362B2E24E05397BE0A0A3A10,机器构建后待人工复核
118,标准《水稻塑料钵盘育苗及抛秧栽培技术规程》的编号是什么？,该标准的编号为DB21/T 1161-1999。,水稻塑料钵盘育苗及抛秧栽培技术规程,DB21/T 1161-1999,事实型问答,GraphRAG-MCP快路径,standard_d3b7de681c4d1585,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D5E162E24E05397BE0A0A3A10,机器构建后待人工复核
119,标准《水稻育苗床土调制剂》的编号是什么？,该标准的编号为DB21/T 1168-2000。,水稻育苗床土调制剂,DB21/T 1168-2000,事实型问答,GraphRAG-MCP快路径,standard_27583cf0dc82bade,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D69D02E24E05397BE0A0A3A10,机器构建后待人工复核
120,标准《绿色食品 水稻生产操作规程》的编号是什么？,该标准的编号为DB21/T 1250-2003。,绿色食品 水稻生产操作规程,DB21/T 1250-2003,事实型问答,GraphRAG-MCP快路径,standard_eaaebc4f04b00ba8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D5A5D2E24E05397BE0A0A3A10,机器构建后待人工复核
121,标准《水稻无纺布覆盖育苗技术规程》的编号是什么？,该标准的编号为DB21/T 1285-2016。,水稻无纺布覆盖育苗技术规程,DB21/T 1285-2016,事实型问答,GraphRAG-MCP快路径,standard_4c7b79dca75e966d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D5BF62E24E05397BE0A0A3A10,机器构建后待人工复核
122,标准《农产品质量安全 辽星1号水稻栽培技术规程》的编号是什么？,该标准的编号为DB21/T 1595-2008。,农产品质量安全 辽星1号水稻栽培技术规程,DB21/T 1595-2008,事实型问答,GraphRAG-MCP快路径,standard_0cd013acd9259a50,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D69DA2E24E05397BE0A0A3A10,机器构建后待人工复核
123,标准《水稻机械插秧作业技术规程》的编号是什么？,该标准的编号为DB21/T 1670-2008。,水稻机械插秧作业技术规程,DB21/T 1670-2008,事实型问答,GraphRAG-MCP快路径,standard_0b32a3d72b954298,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D5DB32E24E05397BE0A0A3A10,机器构建后待人工复核
124,标准《水稻机脱粒 清选作业技术规程》的编号是什么？,该标准的编号为DB21/T 1671-2008。,水稻机脱粒 清选作业技术规程,DB21/T 1671-2008,事实型问答,GraphRAG-MCP快路径,standard_1f3b4ec2e6e20331,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB1D92E24E05397BE0A0A3A10,机器构建后待人工复核
125,标准《水稻脱粒机械作业技术规程》的编号是什么？,该标准的编号为DB21/T 1671-2016。,水稻脱粒机械作业技术规程,DB21/T 1671-2016,事实型问答,GraphRAG-MCP快路径,standard_6cbb1268c0267a08,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DD3532E24E05397BE0A0A3A10,机器构建后待人工复核
126,标准《水稻中转Bt基因成分PCR定性检测方法》的编号是什么？,该标准的编号为DB21/T 1977-2012。,水稻中转Bt基因成分PCR定性检测方法,DB21/T 1977-2012,事实型问答,GraphRAG-MCP快路径,standard_76c7fe191d85dc49,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7D7E2E24E05397BE0A0A3A10,机器构建后待人工复核
127,标准《无公害甜瓜水稻复种生产技术规程》的编号是什么？,该标准的编号为DB21/T 2160-2013。,无公害甜瓜水稻复种生产技术规程,DB21/T 2160-2013,事实型问答,GraphRAG-MCP快路径,standard_f3dfb3bbd119b021,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D76BA2E24E05397BE0A0A3A10,机器构建后待人工复核
128,标准《水稻工厂化育秧技术规程》的编号是什么？,该标准的编号为DB21/T 2163-2013。,水稻工厂化育秧技术规程,DB21/T 2163-2013,事实型问答,GraphRAG-MCP快路径,standard_e97f0e4c20bc1e4f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D5B822E24E05397BE0A0A3A10,机器构建后待人工复核
